Time (UTCG),azimuth_1,elevation_1,range_1,azimuth_2,elevation_2,range_2,azimuth_3,elevation_3,range_3
02 Mar 2024 16:59:00.000,27.890,48.379,729.587178,321.303,24.757,1151.334520,136.899,24.146,1164.712643
29 Mar 2024 05:34:00.000,336.654,46.972,743.674357,38.119,35.080,907.241057,341.893,55.430,667.867890
08 Mar 2024 18:20:00.000,241.756,10.077,1834.107265,152.392,36.545,878.326180,272.653,33.626,931.082679
04 Mar 2024 18:30:00.000,279.743,13.437,1629.452958,242.234,13.599,1615.080129,158.042,21.338,1258.231024
01 Mar 2024 18:45:00.000,104.245,25.459,1129.177093,3.029,36.492,882.749871,145.976,12.205,1691.845312
11 Mar 2024 14:56:00.000,115.298,7.797,1999.995312,315.912,20.919,1282.031512,182.339,12.101,1693.691312
30 Mar 2024 00:27:00.000,171.114,7.689,1999.982650,53.569,8.827,1926.377692,338.355,28.544,1045.823968
28 Mar 2024 04:01:00.000,69.460,9.391,1887.639741,62.047,26.548,1099.546441,341.473,28.598,1044.877474
12 Mar 2024 11:31:00.000,70.343,8.773,1934.195401,87.063,12.386,1686.869040,95.473,13.617,1613.539375
28 Mar 2024 07:22:00.000,105.560,9.343,1887.570155,61.091,7.861,1999.981078,305.385,13.560,1619.728623
02 Mar 2024 20:22:00.000,178.155,13.208,1633.534014,49.846,11.379,1752.210035,79.794,8.597,1938.098828
24 Mar 2024 07:34:00.000,79.909,7.873,1999.976950,329.494,31.440,980.292759,278.314,7.798,1999.990443
22 Mar 2024 11:02:00.000,134.222,7.781,1999.981977,341.260,24.472,1161.125722,51.198,7.841,1999.983388
18 Mar 2024 09:30:00.000,50.591,34.004,930.170590,321.723,24.688,1154.717858,282.550,32.036,964.104947
02 Mar 2024 11:57:00.000,143.929,7.770,1999.999271,116.041,9.308,1886.138425,304.846,27.421,1072.898938
18 Mar 2024 06:06:00.000,175.539,16.624,1458.075643,63.377,7.837,1999.980208,305.095,18.139,1392.814384
19 Mar 2024 07:49:00.000,69.681,7.895,1999.977913,35.691,31.615,976.306012,299.343,7.824,1999.996690
09 Mar 2024 15:02:00.000,98.816,7.826,1999.990684,332.597,23.052,1207.556262,136.687,7.708,1999.978658
06 Mar 2024 13:22:00.000,260.705,13.741,1612.144264,4.796,32.826,950.169249,228.035,34.935,906.310742
10 Mar 2024 13:16:00.000,67.170,21.984,1245.414617,304.438,36.116,889.224413,232.673,7.665,1999.986262
21 Mar 2024 11:00:00.000,248.394,55.344,670.559089,56.326,8.608,1942.266828,29.529,21.808,1246.753824
27 Mar 2024 05:38:00.000,287.480,21.227,1270.806032,292.400,30.509,999.566008,171.652,47.003,738.487923
19 Mar 2024 09:26:00.000,23.323,46.910,745.444597,295.355,7.850,1999.978272,244.672,7.738,1999.978631
22 Mar 2024 10:57:00.000,231.368,44.269,773.012051,272.301,59.977,639.080848,295.289,7.806,1999.991656
11 Mar 2024 13:15:00.000,82.452,8.347,1963.642487,133.054,8.460,1945.296836,254.560,27.961,1057.951994
19 Mar 2024 09:22:00.000,286.391,13.515,1627.017215,331.399,59.011,644.573586,95.316,22.972,1204.419374
24 Mar 2024 07:30:00.000,25.528,47.146,742.530266,231.415,36.007,888.938732,114.584,7.740,1999.995256
11 Mar 2024 11:34:00.000,69.719,7.897,1999.990078,292.853,7.837,1999.985340,177.862,7.677,1999.987653
09 Mar 2024 14:53:00.000,290.368,7.896,1999.970572,65.344,15.059,1540.375772,82.368,10.992,1772.481550
17 Mar 2024 09:35:00.000,67.682,14.608,1568.027742,243.022,36.317,883.318522,325.945,17.056,1440.301475
26 Mar 2024 09:04:00.000,238.935,50.343,710.286850,116.574,9.271,1887.390235,339.249,21.152,1270.735464
30 Mar 2024 03:48:00.000,276.579,21.558,1257.135084,109.927,42.257,796.168369,30.432,18.298,1386.835680
13 Mar 2024 14:41:00.000,283.931,7.885,1999.971094,261.774,11.756,1725.598257,17.539,21.266,1268.255724
19 Mar 2024 12:43:00.000,277.111,7.874,1999.987913,265.629,58.883,645.266939,260.486,7.765,1999.997165
10 Mar 2024 11:28:00.000,254.870,7.835,1999.979343,97.344,7.797,1999.985167,81.404,38.291,851.643281
29 Mar 2024 05:39:00.000,82.185,7.855,1999.976128,221.978,62.016,627.632950,199.745,7.818,1989.547522
24 Mar 2024 07:34:00.000,79.691,8.222,1973.438723,132.949,73.943,581.279294,32.200,17.397,1426.959717
08 Mar 2024 14:59:00.000,307.117,34.231,925.497096,352.646,48.596,725.478357,328.285,17.767,1410.203571
15 Mar 2024 09:38:00.000,23.152,66.237,610.129958,63.778,15.831,1501.659192,319.565,17.110,1438.654691
02 Mar 2024 17:00:00.000,59.354,34.251,924.006661,119.963,28.636,1042.446779,64.188,26.454,1100.012527
17 Mar 2024 07:50:00.000,199.759,56.284,663.336020,332.284,23.061,1206.587481,345.408,26.901,1088.693809
23 Mar 2024 04:11:00.000,166.283,22.681,1214.463577,236.121,13.600,1614.613542,48.462,12.835,1662.911528
29 Mar 2024 07:11:00.000,288.965,13.754,1612.456118,75.217,7.821,1999.994296,96.376,8.437,1946.678689
10 Mar 2024 14:52:00.000,292.554,22.184,1238.365665,353.861,47.707,735.108230,343.767,21.363,1263.622900
26 Mar 2024 07:27:00.000,87.443,14.827,1553.801260,71.485,14.137,1588.102618,211.496,21.065,1266.242850
09 Mar 2024 11:35:00.000,238.501,62.727,625.818476,295.135,7.809,1999.976982,161.152,69.482,593.786276
21 Mar 2024 05:53:00.000,231.591,7.764,1999.991770,340.927,25.024,1143.395416,281.552,7.768,1999.990211
06 Mar 2024 11:43:00.000,185.658,28.224,1053.861252,121.775,7.751,1999.981337,122.854,14.544,1560.052691
04 Mar 2024 16:51:00.000,305.262,34.771,914.814702,335.279,22.837,1214.553194,0.971,53.375,682.541009
26 Mar 2024 07:26:00.000,81.926,23.479,1193.238207,185.120,54.574,673.058017,97.877,24.429,1158.318915
12 Mar 2024 11:22:00.000,269.479,7.861,1999.995544,87.024,15.354,1524.126199,254.515,21.845,1240.816919
24 Mar 2024 10:55:00.000,157.249,7.754,1999.984982,42.888,43.920,776.235180,294.296,22.072,1236.060948
26 Mar 2024 04:00:00.000,230.610,21.875,1243.169206,220.636,13.413,1619.410353,211.060,9.172,1890.179705
04 Mar 2024 15:16:00.000,68.903,14.252,1585.757583,312.604,13.107,1649.283953,280.305,12.975,1652.129402
18 Mar 2024 11:09:00.000,326.350,56.949,660.395769,304.602,7.835,1999.998230,282.254,7.802,1999.989566
25 Mar 2024 09:05:00.000,285.047,22.210,1236.601961,20.758,23.100,1206.000878,232.257,13.493,1616.116382
25 Mar 2024 07:31:00.000,84.720,8.392,1959.914054,55.355,22.936,1209.340438,55.997,11.672,1732.040190
09 Mar 2024 13:20:00.000,70.161,14.190,1589.835745,144.198,16.664,1453.992570,81.596,19.592,1330.068151
19 Mar 2024 12:49:00.000,172.583,20.243,1304.392121,284.735,20.223,1307.508790,103.587,8.528,1942.037996
30 Mar 2024 07:14:00.000,130.142,24.102,1170.236615,154.472,20.100,1308.008076,135.656,22.280,1223.852240
19 Mar 2024 09:27:00.000,53.910,33.482,940.164008,225.409,32.288,958.663620,108.674,8.877,1915.494265
22 Mar 2024 04:12:00.000,179.756,11.526,1734.919434,54.727,7.841,1999.977509,53.786,15.249,1529.791869
06 Mar 2024 15:09:00.000,69.507,22.133,1239.405002,76.279,7.801,1999.989558,90.676,7.752,1999.989544
09 Mar 2024 09:56:00.000,138.071,21.508,1258.487536,338.987,22.957,1210.711572,63.536,9.124,1900.058113
31 Mar 2024 02:04:00.000,237.184,21.965,1239.449547,83.659,11.797,1724.564020,88.714,8.359,1956.453051
15 Mar 2024 14:40:00.000,214.218,24.103,1170.172191,312.332,12.614,1678.162062,70.899,67.557,600.961556
28 Mar 2024 07:20:00.000,102.435,25.507,1129.222571,286.047,7.812,1999.987859,50.657,7.834,1999.981165
05 Mar 2024 15:08:00.000,303.220,32.561,958.199720,63.029,8.198,1973.149578,51.442,14.651,1561.245317
05 Mar 2024 16:48:00.000,294.364,22.238,1235.922446,203.822,10.586,1795.195533,189.592,30.304,999.569334
28 Mar 2024 07:13:00.000,290.300,7.871,1999.990859,3.438,36.088,890.517850,51.177,7.833,1999.980978
03 Mar 2024 15:12:00.000,277.810,21.555,1259.643710,138.811,7.717,1999.989854,10.178,24.734,1152.072562
24 Mar 2024 07:31:00.000,56.152,33.558,938.132796,40.252,38.579,849.597043,203.708,12.897,1648.596504
06 Mar 2024 11:40:00.000,216.375,7.773,1999.983746,332.799,58.662,647.459573,312.994,21.528,1256.250431
30 Mar 2024 00:30:00.000,130.998,11.665,1727.072461,44.935,18.706,1370.879227,302.531,13.642,1614.023141
24 Mar 2024 05:50:00.000,56.832,40.958,816.010034,185.104,7.708,1999.977481,185.402,18.445,1372.503598
06 Mar 2024 18:25:00.000,265.517,12.433,1686.487937,143.072,16.286,1469.983291,2.910,22.658,1218.337363
10 Mar 2024 16:33:00.000,258.955,18.657,1371.521344,313.098,12.968,1657.467669,351.145,50.526,705.937681
15 Mar 2024 07:58:00.000,103.236,24.818,1150.406211,54.783,22.628,1220.257972,75.483,9.356,1884.153834
08 Mar 2024 15:02:00.000,71.441,36.922,877.024139,276.893,34.513,917.099981,176.370,17.195,1428.173292
01 Mar 2024 20:27:00.000,152.380,7.711,1999.990774,61.174,9.369,1887.788490,41.398,39.454,833.313235
29 Mar 2024 05:39:00.000,81.946,8.249,1970.077128,323.668,18.175,1394.032361,171.685,8.936,1905.757301
14 Mar 2024 14:46:00.000,148.654,10.421,1808.885896,359.965,25.186,1140.294478,317.737,24.745,1150.952060
21 Mar 2024 07:39:00.000,16.415,54.004,681.237876,287.511,13.470,1624.771363,27.352,30.049,1008.814964
25 Mar 2024 05:51:00.000,70.044,7.882,1999.985245,290.046,19.769,1325.163615,64.915,15.514,1512.484321
18 Mar 2024 11:14:00.000,98.471,7.844,1999.977908,224.036,14.639,1554.744310,239.091,7.718,1999.990536
15 Mar 2024 11:20:00.000,56.240,33.739,935.198663,300.110,7.846,1999.994938,319.624,20.580,1291.774607
12 Mar 2024 14:44:00.000,287.053,7.891,1999.973253,108.391,15.462,1516.455962,226.595,15.681,1501.368605
12 Mar 2024 11:26:00.000,314.808,51.024,705.870032,268.055,12.333,1690.778785,139.336,23.500,1182.831293
11 Mar 2024 13:14:00.000,78.585,14.211,1587.927676,46.674,49.672,715.797633,255.445,55.031,669.340853
10 Mar 2024 09:55:00.000,91.795,14.932,1548.793784,302.926,13.732,1613.032948,171.564,7.635,1999.994000
03 Mar 2024 20:18:00.000,203.965,12.846,1655.159647,285.105,32.073,965.662904,283.301,20.138,1307.879477
12 Mar 2024 14:49:00.000,174.181,58.250,650.389552,309.960,12.547,1681.834903,61.719,74.957,577.887232
