Time (UTCG),Azimuth (deg),Elevation (deg),Range (km)
04 Mar 2024 18:31:00.000,304.464,22.066,1236.709142
12 Mar 2024 16:27:00.000,263.963,18.636,1367.744960
06 Mar 2024 15:04:00.000,324.782,17.055,1442.019728
28 Mar 2024 04:00:00.000,52.019,7.809,1999.969441
11 Mar 2024 11:26:00.000,284.967,12.849,1659.937682
24 Mar 2024 04:03:00.000,227.379,7.672,1999.995344
23 Mar 2024 10:58:00.000,126.459,15.558,1508.224893
26 Mar 2024 04:00:00.000,261.666,35.113,902.259697
28 Mar 2024 02:11:00.000,217.625,13.286,1624.731398
30 Mar 2024 02:05:00.000,244.468,13.547,1611.923176
08 Mar 2024 11:39:00.000,39.794,39.002,841.678568
22 Mar 2024 12:42:00.000,172.066,8.626,1928.777496
30 Mar 2024 03:46:00.000,292.909,12.572,1673.429422
28 Mar 2024 02:19:00.000,68.581,7.777,1999.980989
26 Mar 2024 03:57:00.000,249.052,7.702,1999.976851
10 Mar 2024 11:32:00.000,326.822,36.512,881.509445
27 Mar 2024 04:03:00.000,54.105,7.808,1999.987018
28 Mar 2024 03:52:00.000,273.904,13.108,1640.387868
04 Mar 2024 11:46:00.000,203.848,7.694,1999.983497
28 Mar 2024 10:37:00.000,251.584,7.744,1999.989414
22 Mar 2024 05:58:00.000,54.976,8.649,1937.672556
22 Mar 2024 05:54:00.000,0.971,53.375,682.541009
26 Mar 2024 05:43:00.000,12.208,23.444,1191.363901
05 Mar 2024 18:33:00.000,130.037,24.963,1138.316951
07 Mar 2024 11:44:00.000,60.192,15.844,1499.322331
18 Mar 2024 07:47:00.000,359.495,45.950,752.149855
25 Mar 2024 05:49:00.000,48.451,9.472,1878.470758
23 Mar 2024 09:17:00.000,70.021,15.593,1510.867636
26 Mar 2024 02:19:00.000,174.424,16.864,1439.966847
08 Mar 2024 13:18:00.000,326.923,22.862,1211.707219
04 Mar 2024 18:30:00.000,302.531,13.642,1614.023141
28 Mar 2024 07:14:00.000,308.903,7.815,1999.982712
17 Mar 2024 12:57:00.000,106.729,15.159,1529.789514
02 Mar 2024 18:37:00.000,319.624,20.580,1291.774607
13 Mar 2024 11:24:00.000,15.017,22.135,1237.265314
06 Mar 2024 10:04:00.000,132.868,9.805,1847.900277
07 Mar 2024 15:02:00.000,344.696,21.685,1252.698919
14 Mar 2024 13:05:00.000,70.433,15.686,1506.136467
24 Mar 2024 05:52:00.000,47.535,11.171,1764.003109
07 Mar 2024 16:48:00.000,95.870,13.738,1605.189433
12 Mar 2024 16:31:00.000,177.653,19.987,1308.679153
13 Mar 2024 11:21:00.000,313.310,17.480,1422.555266
28 Mar 2024 02:19:00.000,68.629,7.862,1993.451527
27 Mar 2024 05:42:00.000,33.845,16.783,1453.710855
24 Mar 2024 05:52:00.000,51.282,7.825,1999.989798
10 Mar 2024 13:15:00.000,38.405,16.011,1492.070919
16 Mar 2024 07:48:00.000,239.091,7.718,1999.990536
29 Mar 2024 05:36:00.000,42.070,16.165,1482.851921
02 Mar 2024 13:32:00.000,233.394,13.559,1614.378734
02 Mar 2024 18:41:00.000,70.073,29.724,1014.362140
18 Mar 2024 11:13:00.000,75.211,9.290,1890.033007
02 Mar 2024 16:55:00.000,305.625,7.822,1999.991147
09 Mar 2024 09:55:00.000,120.220,32.102,961.972879
28 Mar 2024 03:53:00.000,282.517,20.117,1306.709017
03 Mar 2024 16:58:00.000,47.098,17.363,1426.032560
19 Mar 2024 06:07:00.000,68.245,7.807,1999.997928
21 Mar 2024 12:44:00.000,165.222,14.279,1572.533818
22 Mar 2024 09:16:00.000,345.400,23.628,1186.398801
01 Mar 2024 18:46:00.000,82.721,10.966,1772.256234
23 Mar 2024 05:47:00.000,264.179,7.741,1999.991604
12 Mar 2024 14:54:00.000,104.865,7.742,1999.976400
10 Mar 2024 16:37:00.000,148.439,38.046,852.930662
01 Mar 2024 22:02:00.000,248.033,7.699,1999.990077
04 Mar 2024 15:08:00.000,301.620,12.339,1691.141365
15 Mar 2024 13:03:00.000,86.158,11.864,1717.623324
29 Mar 2024 07:16:00.000,42.217,38.690,845.460552
14 Mar 2024 14:38:00.000,297.312,7.824,1999.991237
26 Mar 2024 09:00:00.000,303.531,7.819,1999.991306
21 Mar 2024 04:17:00.000,129.297,18.256,1380.709283
09 Mar 2024 11:31:00.000,264.104,13.399,1626.335093
21 Mar 2024 12:41:00.000,223.008,28.751,1037.116171
18 Mar 2024 12:51:00.000,114.890,74.845,578.100281
22 Mar 2024 04:15:00.000,99.600,19.560,1328.423211
12 Mar 2024 08:03:00.000,166.325,15.630,1502.507333
15 Mar 2024 07:57:00.000,82.336,38.144,853.656554
02 Mar 2024 15:19:00.000,26.735,22.275,1231.159001
02 Mar 2024 13:38:00.000,65.774,25.237,1134.842637
06 Mar 2024 15:05:00.000,342.121,21.195,1270.530538
20 Mar 2024 12:49:00.000,142.997,7.697,1999.999786
15 Mar 2024 11:16:00.000,324.488,17.017,1444.327041
14 Mar 2024 09:35:00.000,264.676,7.770,1999.982483
15 Mar 2024 11:19:00.000,23.981,20.482,1297.887201
29 Mar 2024 08:54:00.000,264.366,31.150,982.286493
04 Mar 2024 16:57:00.000,72.582,8.672,1932.940648
24 Mar 2024 10:55:00.000,140.188,13.988,1589.470197
12 Mar 2024 13:12:00.000,66.584,7.814,1999.984684
06 Mar 2024 18:24:00.000,291.901,7.797,1999.982727
20 Mar 2024 09:21:00.000,343.330,21.307,1266.649718
07 Mar 2024 13:23:00.000,8.066,26.466,1101.225338
20 Mar 2024 06:04:00.000,63.234,9.203,1896.759281
04 Mar 2024 13:33:00.000,45.442,22.984,1206.877687
31 Mar 2024 02:10:00.000,55.574,7.791,1999.970132
25 Mar 2024 02:21:00.000,178.960,7.631,1999.997531
19 Mar 2024 06:06:00.000,71.834,13.749,1607.818618
30 Mar 2024 05:31:00.000,7.578,24.002,1173.046533
19 Mar 2024 06:03:00.000,120.286,47.516,733.789341
22 Mar 2024 07:34:00.000,330.463,22.289,1230.648893
17 Mar 2024 07:48:00.000,262.762,34.840,908.709975
26 Mar 2024 07:28:00.000,69.385,7.806,1999.997247
26 Mar 2024 04:02:00.000,7.667,62.197,625.114037
27 Mar 2024 10:41:00.000,244.075,14.367,1570.480936
28 Mar 2024 05:33:00.000,301.176,7.795,1999.997132
10 Mar 2024 09:54:00.000,77.407,21.917,1242.631541
18 Mar 2024 11:07:00.000,327.518,18.592,1374.142594
29 Mar 2024 02:14:00.000,67.545,24.941,1141.381363
19 Mar 2024 14:27:00.000,237.991,9.389,1877.363003
21 Mar 2024 05:58:00.000,49.950,41.765,801.692643
30 Mar 2024 03:51:00.000,28.624,19.613,1329.507237
06 Mar 2024 11:46:00.000,71.894,23.913,1175.712005
05 Mar 2024 16:49:00.000,342.800,25.986,1113.802857
19 Mar 2024 06:05:00.000,77.878,21.707,1249.121988
28 Mar 2024 07:16:00.000,324.861,19.391,1339.299245
07 Mar 2024 11:40:00.000,241.315,63.249,620.455299
16 Mar 2024 14:38:00.000,195.526,32.301,956.419879
18 Mar 2024 11:06:00.000,316.556,12.753,1667.878397
18 Mar 2024 14:28:00.000,267.181,7.776,1999.987073
19 Mar 2024 07:44:00.000,1.676,35.653,896.074267
31 Mar 2024 03:46:00.000,329.685,22.268,1229.500143
09 Mar 2024 18:20:00.000,209.322,14.639,1552.103927
03 Mar 2024 13:30:00.000,248.460,22.030,1236.521340
17 Mar 2024 07:46:00.000,251.741,13.490,1618.891549
05 Mar 2024 18:35:00.000,126.586,9.052,1898.169424
15 Mar 2024 09:40:00.000,47.533,11.098,1770.010078
25 Mar 2024 04:06:00.000,61.758,42.284,794.063495
27 Mar 2024 02:19:00.000,98.256,23.433,1187.144379
06 Mar 2024 13:26:00.000,26.065,24.393,1162.017918
18 Mar 2024 14:34:00.000,178.868,7.671,1999.998097
09 Mar 2024 09:53:00.000,178.806,27.737,1062.226522
27 Mar 2024 07:19:00.000,327.513,18.470,1378.037040
04 Mar 2024 20:17:00.000,182.339,12.101,1693.691312
20 Mar 2024 11:00:00.000,312.267,13.335,1633.697870
26 Mar 2024 05:46:00.000,50.496,8.247,1967.617177
26 Mar 2024 07:22:00.000,328.273,17.706,1411.650854
20 Mar 2024 11:08:00.000,94.678,7.774,1999.985377
14 Mar 2024 16:24:00.000,219.292,12.393,1679.681444
26 Mar 2024 10:48:00.000,180.184,16.684,1451.439136
21 Mar 2024 09:22:00.000,46.821,17.210,1434.616731
31 Mar 2024 08:46:00.000,273.873,7.769,1999.999351
22 Mar 2024 12:38:00.000,233.811,18.913,1354.828305
15 Mar 2024 11:18:00.000,3.149,22.687,1218.234662
03 Mar 2024 20:20:00.000,165.977,13.717,1600.132756
27 Mar 2024 09:07:00.000,119.565,7.729,1999.981632
29 Mar 2024 07:19:00.000,89.841,12.539,1675.696657
09 Mar 2024 13:16:00.000,356.070,23.453,1192.481463
13 Mar 2024 11:22:00.000,330.600,22.201,1234.689013
08 Mar 2024 18:25:00.000,169.580,10.976,1764.840153
17 Mar 2024 14:35:00.000,196.838,21.021,1270.274568
